F_O2_entrada_kmol_h;m_biogas_entrada_kg_h;m_oxigenio_entrada_kg_h;m_agua_vapor_entrada_kg_h;P_entrada_biogas_bar;T_entrada_biogas_C;P_entrada_oxigenio_bar;T_entrada_oxigenio_C;P_entrada_agua_bar;T_entrada_agua_C;T_vapor_necessaria_C;Q_aquecedor_vapor_kW;W_bomba_agua_W;P_mistura_final_bar;T_mistura_final_alvo_C;W_compressao_biogas_total_kW
7,38768;609,525;235,63;725,346;15;48,42928656;15;25;1;25;862,1606696;845,1829084;403,780725;15;500;1,394375143
7,39954;610,504;236,008;726,512;15;48,43379192;15;25;1;25;862,1577904;846,5401532;404,4298061;15;500;1,396597342
7,40816;611,214;236,283;727,357;15;48,43708571;15;25;1;25;862,1562158;847,5239937;404,900195;15;500;1,398212937
7,41665;611,916;236,554;728,191;15;48,44035682;15;25;1;25;862,1551096;848,4952424;405,3644605;15;500;1,399809971
7,42008;612,198;236,663;728,527;15;48,44166696;15;25;1;25;862,1542422;848,8863316;405,5515027;15;500;1,40044755
7,42575;612,666;236,844;729,085;15;48,44386013;15;25;1;25;862,1526406;849,5357401;405,8621264;15;500;1,401512248
7,42899;612,933;236,948;729,403;15;48,44511274;15;25;1;25;862,1520885;849,9060079;406,0391485;15;500;1,40211888
7,43691;613,587;237,2;730,181;15;48,44818959;15;25;1;25;862,1504306;850,8117327;406,4722403;15;500;1,403604516
7,44061;613,892;237,318;730,543;15;48,44962995;15;25;1;25;862,1501742;851,2334127;406,673756;15;500;1,404297816
7,45191;614,824;237,679;731,653;15;48,45405888;15;25;1;25;862,1476841;852,5255777;407,2916633;15;500;1,406421059
7,45844;615,363;237,887;732,294;15;48,45662777;15;25;1;25;862,1464768;853,2718847;407,6484909;15;500;1,407646729
7,45878;615,391;237,898;732,328;15;48,45675775;15;25;1;25;862,1461375;853,311336;407,6674178;15;500;1,407708632
7,47342;616,599;238,365;733,765;15;48,46255198;15;25;1;25;862,1434477;854,9844184;408,4673573;15;500;1,410457127
7,48047;617,181;238,59;734,458;15;48,46534771;15;25;1;25;862,1418356;855,7911143;408,8531318;15;500;1,411775672
7,48845;617,839;238,844;735,24;15;48,46853676;15;25;1;25;862,1405989;856,7016954;409,2884503;15;500;1,413273747
7,49741;618,579;239,13;736,12;15;48,47213725;15;25;1;25;862,1390358;857,7263046;409,7783228;15;500;1,414957544
7,51439;619,98;239,672;737,788;15;48,47898778;15;25;1;25;862,1352887;859,6680141;410,7068538;15;500;1,418139456
7,51614;620,124;239,727;737,959;15;48,47969763;15;25;1;25;862,1349196;859,8670812;410,8020449;15;500;1,418467555
7,52676;621;240,066;739,002;15;48,48402433;15;25;1;25;862,1325582;861,0812179;411,3826551;15;500;1,420460917
7,52724;621,039;240,081;739,049;15;48,48421299;15;25;1;25;862,1321667;861,1357892;411,4088188;15;500;1,420547585
7,55791;623,57;241,06;742,06;15;48,49684771;15;25;1;25;862,1263235;864,6413;413,084962;15;500;1,426304905
7,57236;624,762;241,52;743,479;15;48,50286814;15;25;1;25;862,1228163;866,2929675;413,8748813;15;500;1,429016465
7,57547;625,019;241,62;743,784;15;48,50416604;15;25;1;25;862,1227142;866,6482993;414,0446667;15;500;1,429598402
7,57641;625,096;241,65;743,877;15;48,50455305;15;25;1;25;862,1219439;866,7562799;414,0964373;15;500;1,429771745
7,5801;625,401;241,767;744,239;15;48,50610293;15;25;1;25;862,1213594;867,177788;414,297953;15;500;1,430465119
7,58037;625,423;241,776;744,266;15;48,50621375;15;25;1;25;862,1210535;867,2090963;414,3129832;15;500;1,430514646
7,61841;628,562;242,989;748;15;48,5223427;15;25;1;25;862,1133995;871,5560891;416,3916012;15;500;1,437652804
7,62063;628,745;243,06;748,219;15;48,52328957;15;25;1;25;862,1124189;871,810775;416,5135126;15;500;1,438067604
7,63344;629,802;243,469;749,476;15;48,5287938;15;25;1;25;862,1101099;873,2742545;417,2132509;15;500;1,440469743
7,63575;629,992;243,542;749,703;15;48,52979062;15;25;1;25;862,1090721;873,5382318;417,3396157;15;500;1,440903121
7,6446;630,723;243,825;750,572;15;48,53363206;15;25;1;25;862,1076399;874,550056;417,8233648;15;500;1,44256854
7,65379;631,481;244,118;751,475;15;48,53762006;15;25;1;25;862,1051593;875,6009695;418,3260408;15;500;1,444289691
7,66594;632,483;244,505;752,667;15;48,54292737;15;25;1;25;862,1025493;876,9885506;418,9895953;15;500;1,446568069
7,67046;632,856;244,649;753,111;15;48,54491142;15;25;1;25;862,1014326;877,5053277;419,2367582;15;500;1,447416275
7,67328;633,089;244,739;753,388;15;48,54614465;15;25;1;25;862,1009117;877,8278193;419,3909567;15;500;1,447942536
7,67891;633,553;244,919;753,94;15;48,54863083;15;25;1;25;862,0998866;878,4704801;419,6982403;15;500;1,449001253
7,68678;634,203;245,17;754,714;15;48,55211736;15;25;1;25;862,097817;879,371283;420,1291055;15;500;1,450480988
7,69149;634,591;245,32;755,175;15;48,55419531;15;25;1;25;862,0970937;879,908063;420,3857318;15;500;1,451360166
7,69252;634,676;245,353;755,277;15;48,55464959;15;25;1;25;862,0965114;880,0266173;420,4425125;15;500;1,4515521
7,70884;636,022;245,873;756,879;15;48,56193453;15;25;1;25;862,0926098;881,8912527;421,3343031;15;500;1,454616869
7,72687;637,51;246,449;758,65;15;48,57003818;15;25;1;25;862,0885703;883,9527231;422,3201714;15;500;1,45799745
7,72814;637,615;246,489;758,774;15;48,57061976;15;25;1;25;862,0885546;884,0971956;422,3891989;15;500;1,458238922
7,7338;638,082;246,67;759,33;15;48,57317404;15;25;1;25;862,0872565;884,7443707;422,6987092;15;500;1,459297687
7,73941;638,545;246,848;759,88;15;48,57572037;15;25;1;25;862,0861503;885,384651;423,0048795;15;500;1,460350265
7,74071;638,652;246,89;760,009;15;48,57632052;15;25;1;25;862,0852517;885,5345019;423,0766904;15;500;1,460597931
7,75547;639,87;247,361;761,457;15;48,58305341;15;25;1;25;862,0825169;887,2202704;423,8827533;15;500;1,46336562
7,76002;640,245;247,506;761,904;15;48,58514177;15;25;1;25;862,0811258;887,7403911;424,1315862;15;500;1,464220081
7,76546;640,694;247,679;762,438;15;48,58762957;15;25;1;25;862,079856;888,3619416;424,4288497;15;500;1,465235532
7,77307;641,322;247,922;763,185;15;48,59114476;15;25;1;25;862,0782754;889,2315119;424,8446847;15;500;1,46666584
7,80111;643,636;248,816;765,939;15;48,60419084;15;25;1;25;862,0713614;892,4368292;426,3777628;15;500;1,471928957
7,83311;646,276;249,837;769,08;15;48,61927776;15;25;1;25;862,0640837;896,0928475;428,1262736;15;500;1,477929065
7,83711;646,605;249,965;769,473;15;48,62117778;15;25;1;25;862,0626589;896,5500204;428,3450462;15;500;1,478678316
7,845;647,256;250,216;770,247;15;48,62494122;15;25;1;25;862,0608892;897,4509366;428,7759113;15;500;1,480158249
7,85484;648,068;250,53;771,214;15;48,62966915;15;25;1;25;862,0581922;898,5762475;429,3142143;15;500;1,482009728
7,85662;648,215;250,587;771,388;15;48,6305095;15;25;1;25;862,0582256;898,779;429,4110755;15;500;1,482337919
7,85681;648,231;250,593;771,408;15;48,63060467;15;25;1;25;862,0577009;898,8020331;429,4222089;15;500;1,482375072
7,85781;648,313;250,625;771,506;15;48,63109656;15;25;1;25;862,0573398;898,9160316;429,4767629;15;500;1,482567033
7,86045;648,531;250,709;771,765;15;48,63236704;15;25;1;25;862,0568131;899,2175332;429,6209413;15;500;1,483062416
7,88184;650,296;251,391;773,864;15;48,64271586;15;25;1;25;862,0520838;901,6607318;430,7893985;15;500;1,487075061
7,89395;651,295;251,777;775,054;15;48,64862282;15;25;1;25;862,0485066;903,045402;431,4518396;15;500;1,489347689
7,90908;652,544;252,26;776,539;15;48,65604102;15;25;1;25;862,0453647;904,774007;432,2784994;15;500;1,492183863
7,93452;654,643;253,072;779,038;15;48,66864599;15;25;1;25;862,0385815;907,6821616;433,6696259;15;500;1,496958383
7,93935;655,041;253,225;779,511;15;48,6710495;15;25;1;25;862,0374199;908,2326656;433,9329324;15;500;1,497862519
7,94236;655,29;253,322;779,807;15;48,67256676;15;25;1;25;862,0369733;908,5773124;434,0977077;15;500;1,498432251
7,94768;655,729;253,491;780,33;15;48,67522702;15;25;1;25;862,0351838;909,1857453;434,3888478;15;500;1,499429286
7,95079;655,985;253,59;780,634;15;48,67678319;15;25;1;25;862,0346856;909,5396856;434,5580764;15;500;1,500011408
7,95545;656,369;253,739;781,092;15;48,67912156;15;25;1;25;862,033178;910,0725301;434,8130328;15;500;1,500884593
7,97418;657,914;254,336;782,931;15;48,68859148;15;25;1;25;862,0281061;912,212555;435,8367549;15;500;1,504402145
7,99015;659,232;254,846;784,499;15;48,69672436;15;25;1;25;862,0242847;914,0374732;436,7096186;15;500;1,507399543
7,9975;659,839;255,08;785,221;15;48,70047429;15;25;1;25;862,0223627;914,8776859;437,1115367;15;500;1,508774398
8,00763;660,674;255,403;786,215;15;48,70568032;15;25;1;25;862,0196175;916,0343781;437,6648699;15;500;1,510675675
8,01746;661,485;255,717;787,18;15;48,71075628;15;25;1;25;862,0172007;917,1574505;438,2020596;15;500;1,512521232
8,0231;661,951;255,897;787,734;15;48,71367905;15;25;1;25;862,0159169;917,8022518;438,5104566;15;500;1,513580268
8,02405;662,029;255,927;787,828;15;48,71417545;15;25;1;25;862,01511;917,9113491;438,5627839;15;500;1,513759871
8,04559;663,806;256,614;789,942;15;48,72539165;15;25;1;25;862,0097033;920,3715589;439,7395912;15;500;1,517797884
8,05044;664,206;256,769;790,419;15;48,72793521;15;25;1;25;862,0080668;920,9264557;440,0051243;15;500;1,518708307
8,06447;665,364;257,216;791,796;15;48,73531965;15;25;1;25;862,0045992;922,5289848;440,7716634;15;500;1,521340503
8,07393;666,145;257,518;792,725;15;48,74033207;15;25;1;25;862,0022441;923,6101273;441,2888129;15;500;1,523118029
8,09174;667,614;258,086;794,473;15;48,74981947;15;25;1;25;861,9975025;925,6442253;442,2618777;15;500;1,526462547
8,10988;669,11;258,665;796,254;15;48,75954058;15;25;1;25;861,9924034;927,7165709;443,2533128;15;500;1,529862865
8,11358;669,416;258,783;796,618;15;48,76153313;15;25;1;25;861,99138;928,1401245;443,4559419;15;500;1,530556562
8,12131;670,053;259,029;797,376;15;48,76572428;15;25;1;25;861,9892029;929,0221139;443,8779002;15;500;1,532012095
8,12583;670,427;259,173;797,821;15;48,76817409;15;25;1;25;861,9878421;929,5398595;444,1256198;15;500;1,532860645
8,13535;671,212;259,477;798,755;15;48,7733396;15;25;1;25;861,9854154;930,6267695;444,6455527;15;500;1,534644469
8,15147;672,542;259,991;800,338;15;48,7821404;15;25;1;25;861,9807798;932,468645;445,5267664;15;500;1,537667097
8,15182;672,571;260,002;800,373;15;48,78233948;15;25;1;25;861,9804158;932,5092291;445,54625;15;500;1,537735231
8,16078;673,31;260,288;801,252;15;48,78727191;15;25;1;25;861,9781656;933,5321446;446,0355658;15;500;1,539419995
8,17814;674,743;260,842;802,957;15;48,79686388;15;25;1;25;861,9734183;935,5160858;446,9846937;15;500;1,542678075
8,18838;675,588;261,168;803,962;15;48,80255002;15;25;1;25;861,9706056;936,6854929;447,5441503;15;500;1,544598262
8,19324;675,989;261,324;804,44;15;48,80525494;15;25;1;25;861,9691238;937,24161;447,8102402;15;500;1,545508809
8,20231;676,737;261,613;805,33;15;48,81033;15;25;1;25;861,9665584;938,2771595;448,3056794;15;500;1,547212224
8,20311;676,803;261,638;805,408;15;48,81077383;15;25;1;25;861,9664391;938,367972;448,3490999;15;500;1,547360887
8,2093;677,313;261,836;806,016;15;48,81425562;15;25;1;25;861,9644053;939,0752506;448,6875572;15;500;1,548525413
8,23421;679,368;262,63;808,462;15;48,8283296;15;25;1;25;861,956921;941,9210104;450,04918;15;500;1,553202174
8,23498;679,432;262,655;808,538;15;48,82876064;15;25;1;25;861,9568331;942,0095089;450,0914872;15;500;1,553344647
8,25619;681,182;263,331;810,62;15;48,84086605;15;25;1;25;861,9507739;944,4319272;451,2504809;15;500;1,557327731
8,26687;682,063;263,672;811,668;15;48,84698714;15;25;1;25;861,9479332;945,6513877;451,8338745;15;500;1,559328597
8,28285;683,382;264,181;813,237;15;48,85620963;15;25;1;25;861,9432908;947,4768692;452,7072949;15;500;1,562326839
8,29112;684,064;264,445;814,049;15;48,86101617;15;25;1;25;861,9407563;948,4215299;453,1593135;15;500;1,563881731
8,29182;684,122;264,468;814,118;15;48,86141904;15;25;1;25;861,9406994;948,5018886;453,197724;15;500;1,564011822
8,29264;684,189;264,494;814,198;15;48,86189881;15;25;1;25;861,9403652;948,5949126;453,2422579;15;500;1,564166693
8,29303;684,221;264,506;814,237;15;48,86212915;15;25;1;25;861,9397693;948,6400269;453,2639681;15;500;1,564241031
8,32301;686,695;265,462;817,18;15;48,87966657;15;25;1;25;861,9312144;952,0641579;454,9022575;15;500;1,56986602
8,32538;686,89;265,538;817,413;15;48,88106633;15;25;1;25;861,9302505;952,3350919;455,0319624;15;500;1,570312062
8,32686;687,013;265,585;817,559;15;48,88194187;15;25;1;25;861,9298302;952,5049617;455,1132367;15;500;1,570590839
8,33792;687,925;265,938;818,644;15;48,88847624;15;25;1;25;861,9267345;953,7673624;455,7172272;15;500;1,572666189
8,34258;688,31;266,087;819,102;15;48,89123523;15;25;1;25;861,9254361;954,30025;455,9721835;15;500;1,573539702
8,34866;688,812;266,281;819,699;15;48,89484337;15;25;1;25;861,923748;954,9948667;456,3045175;15;500;1,574679612
8,35367;689,225;266,44;820,191;15;48,89783064;15;25;1;25;861,9218503;955,5670368;456,5784007;15;500;1,575621281
8,35963;689,717;266,63;820,776;15;48,90139568;15;25;1;25;861,920194;956,2476876;456,9040546;15;500;1,576742618
8,38244;691,599;267,358;823,016;15;48,91508421;15;25;1;25;861,9131731;958,8535559;458,1510027;15;500;1,581023587
8,38333;691,671;267,386;823,102;15;48,91562159;15;25;1;25;861,9128056;958,9535485;458,1988766;15;500;1,581190862
8,39389;692,543;267,723;824,14;15;48,92200507;15;25;1;25;861,9094058;960,1610014;458,7767035;15;500;1,583173402
8,40787;693,697;268,169;825,513;15;48,9305043;15;25;1;25;861,9051702;961,7582794;459,5410158;15;500;1,585800301
8,42786;695,346;268,807;827,475;15;48,942713;15;25;1;25;861,8992231;964,0408146;460,6332088;15;500;1,589548655
8,42815;695,369;268,816;827,503;15;48,94289534;15;25;1;25;861,8988936;964,073254;460,6487956;15;500;1,589604416
8,44412;696,688;269,325;829,072;15;48,95273232;15;25;1;25;861,8939375;965,8984619;461,522216;15;500;1,592603157
8,44442;696,712;269,335;829,101;15;48,95291582;15;25;1;25;861,893832;965,9321897;461,5383595;15;500;1,592658919
8,45096;697,252;269,543;829,743;15;48,95695818;15;25;1;25;861,8918498;966,6790464;461,8957437;15;500;1,593885692
8,45808;697,839;269,771;830,442;15;48,96137974;15;25;1;25;861,8896627;967,492195;462,2848584;15;500;1,595223999
8,4624;698,196;269,908;830,866;15;48,96406728;15;25;1;25;861,8884037;967,9854718;462,5208878;15;500;1,596035662
