hours,Price,Price,,,,
495,113.28,99.875,,,,
496,130.39,121.355,,,,
497,142.83,130.81,,,,
498,130.79,111.705,,,,
499,115.535,113.04,,,,
500,111.7,102.37,,,,
501,105.755,99.06,,,,
502,100.785,92.925,,,,
503,96.66,92.04,,,,
504,99.495,86.465,,,,
505,96.7,86,,,,
506,87.755,79.455,,,,
507,83.15,70.06,,,,
508,82.7,71.09,,,,
509,116.085,87.33,,,,
510,147.52,98.05,,,,
511,193.955,134.95,,,,
512,179.9,120.155,,,,
513,162.12,110.37,,,,
514,145.4,106.85,,,,
515,138.97,101.655,,,,
516,137.84,103.26,,,,
517,139.11,106.725,,,,
518,139.73,108.98,,,,
519,145.79,119.015,,,,
520,168.835,140.38,,,,
521,179.185,156.98,,,,
522,160.645,147.84,,,,
523,134.41,119.15,,,,
524,124.18,115.405,,,,
525,111.91,106.735,,,,
526,103.68,99.325,,,,
527,90.845,83.04,,,,
528,85.52,79.995,,,,
529,77.95,79.2,,,,
530,73.7,76.295,,,,
531,82.23,79.57,,,,
532,98.105,92.205,,,,
533,122.56,125.705,,,,
534,149.155,157.395,,,,
535,183.45,186.855,,,,
536,176.555,183.44,,,,
537,159.78,165.4,,,,
538,147.48,147.6,,,,
539,140.99,142.53,,,,
540,134.675,141.26,,,,
541,142.65,144.845,,,,
542,146.14,146.645,,,,
543,150.885,150.885,,,,
544,165.905,165.355,,,,
545,167.445,166.48,,,,
546,153.245,149.27,,,,
547,136.145,133.195,,,,
548,122.975,123.575,,,,
549,101.65,110.5,,,,
550,91.17,96.005,,,,
551,71.525,84.85,,,,
552,74.15,81.085,,,,
553,72.63,72.95,,,,
554,71.405,69.255,,,,
555,70.9,74.31,,,,
556,75.45,78.35,,,,
557,88.325,100.13,,,,
558,131.48,138.78,,,,
559,160.02,173.05,,,,
560,159.165,174.88,,,,
561,140.21,153.33,,,,
562,126.595,141.085,,,,
563,116.26,128.585,,,,
564,111.75,122.145,,,,
565,118.65,130.89,,,,
566,132.865,143.205,,,,
567,139.595,152.29,,,,
568,152.175,174,,,,
569,146.41,171.36,,,,
570,135.255,165.62,,,,
571,117,145.645,,,,
572,113.145,132.37,,,,
573,108.44,110.85,,,,
574,108.4,114.57,,,,
575,107.45,101.55,,,,
576,92.74,101.14,,,,
577,97.84,106.23,,,,
578,100.805,110.85,,,,
579,102.125,111.055,,,,
580,99.95,113.4,,,,
581,119.485,119.29,,,,
582,137.295,143.78,,,,
583,150.985,164.03,,,,
584,146.53,159.5,,,,
585,138.17,148.19,,,,
586,109.38,139.82,,,,
587,105.695,134.075,,,,
588,103.275,130.875,,,,
589,106.09,137.51,,,,
590,112.045,142.955,,,,
591,124.99,148.085,,,,
592,151.1,161.175,,,,
593,131.2,156.25,,,,
594,116.225,134.47,,,,
595,104.2,114.955,,,,
596,116.84,114.29,,,,
597,104.7,112.24,,,,
598,102.085,104.585,,,,
599,93.46,106.4,,,,
600,88.305,95.69,,,,
601,89.115,93.485,,,,
602,85.395,90.7,,,,
603,85.74,88.17,,,,
604,89.065,87.435,,,,
605,103.925,109.27,,,,
606,124.04,127.235,,,,
607,136.225,138.2,,,,
608,139.645,139.58,,,,
609,133.17,131.86,,,,
610,124.47,99.52,,,,
611,117.57,94.26,,,,
612,113.15,88.15,,,,
613,115.75,88.98,,,,
614,118.085,93.325,,,,
615,131.5,114,,,,
616,146.525,140.6,,,,
617,168.135,142.785,,,,
618,152.41,122.52,,,,
619,138.465,112.145,,,,
620,121.93,115.7,,,,
621,114.76,107.1,,,,
622,112.68,104.68,,,,
623,107.2,99.31,,,,
624,101.95,91.755,,,,
625,99.61,92.82,,,,
626,94.235,87.5,,,,
627,90.855,90.285,,,,
628,90.7,92.92,,,,
629,94.39,104.84,,,,
630,101.58,121.5,,,,
631,116.095,140.88,,,,
632,123.17,142.695,,,,
633,120.86,137.585,,,,
634,107.125,125.165,,,,
635,90.92,119.45,,,,
636,86.89,116.94,,,,
637,94.815,120.615,,,,
638,100.6,131.6,,,,
639,118.335,135.2,,,,
640,128.075,144.635,,,,
641,131.985,148.335,,,,
642,121.31,143.16,,,,
643,111.685,132.78,,,,
644,109.9,118.91,,,,
645,107.785,110.645,,,,
646,98.4,109.35,,,,
647,108.585,103.335,,,,
648,99.865,97.85,,,,
649,89.25,96.21,,,,
650,92.055,94.18,,,,
651,91.865,92.595,,,,
652,92.995,92.615,,,,
653,92.58,94.06,,,,
654,96.1,97.62,,,,
655,103.535,102.315,,,,
656,102.56,107.68,,,,
657,103.075,106.45,,,,
658,83.755,99.715,,,,
659,86.62,83.62,,,,
660,80.525,80.075,,,,
661,85.49,89.805,,,,
662,90.135,88.95,,,,
663,98.145,110.28,,,,
664,116.11,120.675,,,,
665,112.3,121.35,,,,
666,94.08,110.08,,,,
667,94.305,103.775,,,,
668,79.59,100.705,,,,
669,78.83,99.63,,,,
670,64.555,90.05,,,,
671,49.82,100.185,,,,
672,28.36,93.145,,,,
673,26.595,83.76,,,,
674,25,86.595,,,,
675,30.305,87.67,,,,
676,48.78,91.82,,,,
677,84.455,102.995,,,,
678,121.345,112.955,,,,
679,140.6,123.535,,,,
680,115.195,119.145,,,,
681,91.195,116.85,,,,
682,79.75,96.635,,,,
683,77.57,101.12,,,,
684,79.125,97.835,,,,
685,84.77,101.63,,,,
686,97.795,110.52,,,,
687,112.395,117.395,,,,
688,143.85,138,,,,
689,147.96,132.91,,,,
690,143.76,112.76,,,,
691,130.975,105.475,,,,
692,117.83,93.635,,,,
693,116.575,90.625,,,,
694,108.795,76.7,,,,
695,111.87,60.805,,,,
696,87.695,39.11,,,,
697,89,37.22,,,,
698,85.03,34.56,,,,
699,86.215,37.83,,,,
700,89.635,53.435,,,,
701,109.98,83.685,,,,
702,131.105,120.385,,,,
703,139.37,138.97,,,,
704,127.715,113.465,,,,
705,121.225,90.32,,,,
706,108.05,79.165,,,,
707,93.385,76.5,,,,
708,90.645,75.805,,,,
709,92.76,79.74,,,,
710,101.8,89.26,,,,
711,111.685,100.985,,,,
712,127.365,127.93,,,,
713,149.69,139.69,,,,
714,129.17,145.205,,,,
715,107.1,130.45,,,,
716,103.86,115.06,,,,
717,102.575,116.175,,,,
718,82.41,107.3,,,,
719,81.965,115.35,,,,
720,77.025,90.33,,,,
721,71.28,89.76,,,,
722,70.435,86.395,,,,
723,74.19,87.485,,,,
724,78.895,91.88,,,,
725,92.135,113.06,,,,
726,117.585,138.305,,,,
727,141.85,151.4,,,,
728,106.815,132.015,,,,
729,95.745,124.14,,,,
730,90.95,111.545,,,,
731,88.77,96.79,,,,
732,84.645,90.28,,,,
733,84.19,90.195,,,,
734,87.88,99.47,,,,
735,104.275,109.975,,,,
736,126.635,126.01,,,,
737,132.595,142.75,,,,
738,97.6,108.565,,,,
739,81.83,93.54,,,,
740,87.59,92.89,,,,
